vendor_name,amount,transaction_date,description
AMZN Web Services,4341.59,2025-08-01,Cloud infrastructure & compute
AMZN Web Services,393.38,2025-08-01,Data transfer & bandwidth
SALESFORCE,1549.82,2025-08-03,CRM platform - Enterprise licenses
Twilio Inc,1267.47,2025-08-05,Voice & SMS API usage
HubSpot,798.34,2025-08-02,Marketing Hub Professional
Datadog,563.58,2025-08-04,Infrastructure monitoring
Zendesk,376.58,2025-08-06,Customer support platform
Slack Technologies,196.75,2025-08-01,Business+ plan
Slack Technologies,198.26,2025-08-15,Business+ plan - duplicate charge
ZOOM.US,145.4,2025-08-01,Business plan - 50 hosts
Figma,90.94,2025-08-07,Organization plan
GitHub Inc,145.59,2025-08-10,Team plan - 25 seats
Notion Labs,80.04,2025-08-08,Team plan
Adobe Creative Cloud,308.14,2025-08-12,All Apps plan - 10 licenses
Asana,123.19,2025-08-09,Business tier
Mailchimp,96.78,2025-08-05,Standard plan - email marketing
Intercom,187.73,2025-08-11,Support & engagement platform
JetBrains,649,2025-08-22,IntelliJ IDEA Ultimate - annual
Stripe,99.23,2025-08-22,Payment processing fees
DigitalOcean,86.78,2025-08-20,Droplet hosting
Cloudflare,65.8,2025-08-03,Pro plan + Workers
Amplitude,459.73,2025-08-14,Growth plan - product analytics
