vendor_name,amount,transaction_date,description
Amazon Web Services,4361.22,2025-11-01,Cloud infrastructure & compute
Amazon Web Services,430.74,2025-11-01,Data transfer & bandwidth
Salesforce CRM,1630.58,2025-11-03,CRM platform - Enterprise licenses
Twilio Inc,1327.32,2025-11-05,Voice & SMS API usage
HubSpot,856.54,2025-11-02,Marketing Hub Professional
Datadog,602.96,2025-11-04,Infrastructure monitoring
Zendesk,400.74,2025-11-06,Customer support platform
Slack Technologies,197.56,2025-11-01,Business+ plan
ZOOM.US,149.34,2025-11-01,Business plan - 50 hosts
Figma,88.14,2025-11-07,Organization plan
GitHub,152.72,2025-11-10,Team plan - 25 seats
Notion Labs,77.97,2025-11-08,Team plan
Adobe Creative Cloud,302.35,2025-11-12,All Apps plan - 10 licenses
Asana,122.79,2025-11-09,Business tier
Mailchimp,96.87,2025-11-05,Standard plan - email marketing
Intercom,191.42,2025-11-11,Support & engagement platform
Stripe,124.99,2025-11-25,Payment processing fees
Cloudflare,65.66,2025-11-03,Pro plan + Workers
Amplitude,505.47,2025-11-14,Growth plan - product analytics
