Date,Description,Amount
2026-01-02,AWS,18420
2026-01-02,Google Cloud Platform,8920
2026-01-03,Salesforce,12400
2026-01-03,HubSpot Marketing Hub,4200
2026-01-05,Slack Enterprise,3200
2026-01-05,Zoom Business,1480
2026-01-06,Adobe Creative Cloud,2850
2026-01-06,Figma Organization,900
2026-01-07,Zendesk Suite,2100
2026-01-08,GitHub Team,420
2026-01-08,Atlassian Jira Cloud,1240
2026-01-09,Notion Team,960
2026-01-09,Asana Business,2490
2026-01-10,Stripe Fees,1840
2026-01-10,Mailchimp Pro,540
2026-01-12,Twilio Voice,680
2026-01-13,Microsoft Azure,6750
2026-01-14,Intercom Growth,1190
2026-01-15,SendGrid Pro,890
2026-01-16,Segment Team,1200
2026-01-17,DigitalOcean Droplets,420
2026-01-18,QuickBooks Online,720
2026-01-20,AWS,6200
2026-01-21,Salesforce,3100
2026-01-22,Slack Enterprise,800
2026-01-23,Zendesk Suite,525
2026-01-24,GitHub Team,105
2026-01-25,Monday.com Standard,960
2026-01-27,Cloudflare Pro,200
2026-01-28,Freshdesk Omnichannel,890
2026-01-29,Amplitude Growth,1650
2026-01-30,Mixpanel Team,830
2026-01-31,Pipedrive Advanced,1290
2026-01-31,Canva Teams,375
2026-01-31,Basecamp Pro,600
2026-01-04,PayPal Business,420
2026-01-11,Xero Standard,650
2026-01-19,Confluence Standard,1100
2026-01-26,Trello Business Class,540
2026-01-15,Zoom Business,370
2026-01-08,Stripe Fees,460
2026-01-14,GitHub Team,210
