Date,Description,Amount
2026-03-01,AWS,19800
2026-03-01,Google Cloud Platform,9650
2026-03-02,Salesforce,13200
2026-03-02,HubSpot Marketing Hub,4750
2026-03-03,Slack Enterprise,3350
2026-03-03,Zoom Business,1580
2026-03-04,Adobe Creative Cloud,3120
2026-03-04,Figma Organization,990
2026-03-05,Zendesk Suite,2350
2026-03-06,GitHub Team,460
2026-03-06,Atlassian Jira Cloud,1320
2026-03-07,Notion Team,1020
2026-03-07,Asana Business,2680
2026-03-08,Stripe Fees,2050
2026-03-08,Mailchimp Pro,620
2026-03-09,Twilio Voice,760
2026-03-10,Microsoft Azure,7450
2026-03-11,Intercom Growth,1320
2026-03-12,SendGrid Pro,950
2026-03-13,Segment Team,1350
2026-03-14,DigitalOcean Droplets,460
2026-03-15,QuickBooks Online,740
2026-03-17,AWS,6600
2026-03-18,Salesforce,3300
2026-03-19,Slack Enterprise,840
2026-03-19,Slack Enterprise,420
2026-03-20,Zendesk Suite,588
2026-03-21,GitHub Team,115
2026-03-21,GitHub Team,230
2026-03-22,Monday.com Standard,1020
2026-03-23,Cloudflare Pro,240
2026-03-24,Freshdesk Omnichannel,950
2026-03-25,Amplitude Growth,1800
2026-03-26,Mixpanel Team,890
2026-03-27,Pipedrive Advanced,1420
2026-03-28,Canva Teams,415
2026-03-28,Basecamp Pro,620
2026-03-29,PayPal Business,470
2026-03-30,Xero Standard,660
2026-03-31,Confluence Standard,1180
2026-03-05,Trello Business Class,580
2026-03-11,Zoom Business,395
2026-03-15,Stripe Fees,512
2026-03-08,Zendesk Suite,588
2026-03-12,Notion Team,340
2026-03-18,Help Scout Plus,920
2026-03-22,Bitbucket Premium,145
2026-03-26,Invision Enterprise,1250
2026-03-28,Discord Nitro Business,500
2026-03-04,Vonage API,650
2026-03-14,PayPal Business,195
2026-03-09,Salesforce,3300
2026-03-16,AWS,3300
2026-03-24,Adobe Creative Cloud,1560
2026-03-30,Mailchimp Pro,310
2026-03-30,Mailchimp Pro,310
2026-03-02,Cloudflare Pro,120
2026-03-10,Stripe Fees,512
2026-03-20,Segment Team,675
2026-03-25,GitHub Team,345
2026-03-31,Zoom Business,395
